municipio,total_bib
Siete Aguas,1
Silla,1
Simat de la Valldigna,1
Sollana,1
Sueca,3
Tavernes Blanques,1
Tavernes de la Valldigna,1
Titaguas,1
Torrent,2
Tous,1
Tuéjar,1
Turís,1
Utiel,1
València,31
Vallada,1
Vilallonga/Villalonga,1
Vilamarxant,1
Villanueva de Castellón,1
Vinalesa,1
Xàtiva,1
Xeraco,1
Xirivella,3
Yátova,1
Aguadulce,1
Albaida del Aljarafe,1
Alcalá de Guadaíra,2
Alcalá del Río,1
Alcolea del Río,1
Algámitas,1
Almensilla,1
Arahal,1
Aznalcázar,1
Aznalcóllar,1
Badolatosa,1
Bollullos de la Mitación,1
Bormujos,1
Brenes,1
Burguillos,1
Camas,1
Cañada Rosal,1
Cantillana,1
Carmona,2
Casariche,1
Castilblanco de los Arroyos,1
Castilleja de Guzmán,1
Castilleja de la Cuesta,1
Castilleja del Campo,1
Cazalla de la Sierra,1
Constantina,1
Coria del Río,1
Coripe,1
Dos Hermanas,2
Écija,1
El Castillo de las Guardas,1
El Coronil,1
El Cuervo de Sevilla,1
El Madroño,1
El Pedroso,1
El Ronquillo,1
El Rubio,1
El Saucejo,1
El Viso del Alcor,1
Espartinas,1
Estepa,1
Fuentes de Andalucía,1
Gelves,1
Gerena,1
Gilena,1
Gines,1
Guadalcanal,1
Guillena,3
Herrera,1
Huévar del Aljarafe,1
Isla Mayor,1
La Algaba,1
La Campana,1
La Luisiana,1
La Puebla de Cazalla,1
La Puebla de los Infantes,1
La Puebla del Río,1
La Rinconada,3
La Roda de Andalucía,1
Lantejuela,1
Las Cabezas de San Juan,2
Las Navas de la Concepción,1
Lebrija,1
Lora de Estepa,1
Lora del Río,3
Los Corrales,1
Los Molares,1
Los Palacios y Villafranca,1
Mairena del Alcor,2
Mairena del Aljarafe,2
Marchena,1
Marinaleda,1
Martín de la Jara,1
Montellano,1
Morón de la Frontera,2
Olivares,1
Osuna,1
Palomares del Río,1
Paradas,1
Pedrera,1
Peñaflor,1
Pilas,1
Pruna,1
Salteras,1
San Juan de Aznalfarache,1
San Nicolás del Puerto,1
Sanlúcar la Mayor,1
Santiponce,1
Sevilla,16
Tocina,2
Tomares,1
Utrera,2
Valencina de la Concepción,1
Villamanrique de la Condesa,1
Villanueva de San Juan,1
Villanueva del Ariscal,1
Villanueva del Río y Minas,1
Villaverde del Río,1
Ayllón,1
Cantalejo,1
Cantimpalos,1
Carbonero el Mayor,1
Coca,1
Cuéllar,1
El Espinar,2
Fuentepelayo,1
Hontanares de Eresma,1
Mozoncillo,1
Nava de la Asunción,1
Navalmanzano,1
Navas de Oro,1
Palazuelos de Eresma,3
Riaza,1
Sacramenia,1
San Cristóbal de Segovia,1
San Ildefonso,1
Segovia,1
Sepúlveda,1
Trescasas,1
Turégano,1
Alájar,1
Aljaraque,2
Almonte,3
Alosno,2
Aracena,1
Arroyomolinos de León,1
Ayamonte,1
Beas,1
Bollullos Par del Condado,1
Bonares,1
Aínsa-Sobrarbe,1
Albalate de Cinca,1
Cabezas Rubias,1
Cala,1
Calañas,1
Campofrío,1
Cañaveral de León,1
Cartaya,1
Chucena,1
Corteconcepción,1
Cortegana,1
Cortelazor,1
Cumbres de San Bartolomé,1
Cumbres Mayores,1
El Cerro de Andévalo,1
Encinasola,1
Escacena del Campo,1
Albelda,1
Alcalá de Gurrea,1
Alcampell,1
Alcolea de Cinca,1
Alcubierre,1
Almudévar,1
Almunia de San Juan,1
Altorricón,1
Ansó,1
Arén,1
Ayerbe,1
Azara,1
Ballobar,1
Barbastro,1
Belver de Cinca,1
Benabarre,1
Benasque,1
Berbegal,1
Bielsa,1
Biescas,1
Binaced,1
Binéfar,1
Biscarrués,1
Boltaña,1
Galaroza,1
Gibraleón,2
Higuera de la Sierra,1
Hinojales,1
Hinojos,1
Huelva,8
Isla Cristina,1
Jabugo,2
La Granada de Río-Tinto,1
La Nava,1
La Palma del Condado,1
Lepe,2
Linares de la Sierra,1
Minas de Riotinto,1
Moguer,2
Nerva,1
Niebla,1
Palos de la Frontera,1
Paterna del Campo,1
Paymogo,1
Puebla de Guzmán,1
Puerto Moral,1
Punta Umbría,1
Rociana del Condado,1
Rosal de la Frontera,1
San Bartolomé de la Torre,1
San Juan del Puerto,1
San Silvestre de Guzmán,1
Santa Olalla del Cala,1
Trigueros,1
Valverde del Camino,1
Villablanca,1
Campo,1
Canfranc,1
Castejón de Monegros,1
Castejón de Sos,1
Castejón del Puente,1
Castillonroy,1
El Grado,1
Esplús,1
Estada,1
Estadilla,1
Fiscal,1
Fonz,1
Fraga,4
Grañén,1
Graus,1
Gurrea de Gállego,1
Hoz y Costean,2
Huesca,3
Jaca,1
La Fueva,1
Labuerda,1
Lalueza,1
Lanaja,1
Laspuña,1
Monzón,1
Naval,1
Osso de Cinca,1
Panticosa,1
Peñalba,1
Peralta de Alcofea,1
Poleñino,1
Robres,1
Villalba del Alcor,1
Villanueva de las Cruces,1
Villanueva de los Castillejos,1
Villarrasa,1
Zalamea la Real,1
Zufre,1
Sabiñánigo,1
Salas Altas,1
Sallent de Gállego,2
San Esteban de Litera,1
San Miguel del Cinca,2
Sariñena,1
Siétamo,1
Tamarite de Litera,1
Tardienta,1
Torrente de Cinca,1
Valle de Hecho,1
Velilla de Cinca,1
Vencillón,1
Zaidín,1
Alfoz de Lloredo,1
Ampuero,1
Argoños,1
Bárcena de Cicero,1
Bárcena de Pie de Concha,1
Bareyo,1
Cabezón de la Sal,1
Camaleño,1
Camargo,1
Cartes,1
Castro-Urdiales,1
Colindres,1
Comillas,1
El Astillero,1
Entrambasaguas,1
Laredo,1
Liendo,1
Limpias,1
Los Corrales de Buelna,1
Mazcuerras,2
Medio Cudeyo,1
Meruelo,1
Noja,1
Piélagos,2
Polanco,1
Potes,1
Ramales de la Victoria,1
Reinosa,1
Ruente,1
Ruiloba,1
San Vicente de la Barquera,1
Santa Cruz de Bezana,2
Santa María de Cayón,2
Santander,7
Santillana del Mar,1
Santoña,1
Selaya,1
Suances,1
Torrelavega,2
Val de San Vicente,1
Valdáliga,1
Valdeolea,1
Valdeprado del Río,1
Villaescusa,1
Voto,1
Albalate de Zorita,1
Albares,1
Alcoroches,1
Almonacid de Zorita,1
Alovera,1
Alustante,1
Aranzueque,1
Azuqueca de Henares,1
Berninches,1
Brihuega,1
Budia,1
Cabanillas del Campo,1
Chiloeches,1
Cifuentes,2
Cogolludo,1
Durón,1
El Casar,1
Espinosa de Henares,1
Fontanar,1
Fuentelencina,1
Fuentenovilla,1
Galápagos,1
Guadalajara,2
Horche,1
Humanes,1
Illana,1
Jadraque,1
Loranca de Tajuña,1
Lupiana,1
Maranchón,1
Marchamalo,1
Molina de Aragón,2
Mondéjar,1
Pastrana,1
Pioz,1
Pozo de Guadalajara,1
Quer,1
Sacedón,1
Sigüenza,1
Tendilla,1
Torija,1
Torrejón del Rey,1
Tórtola de Henares,1
Trijueque,1
Trillo,1
Uceda,2
Villanueva de la Torre,1
Yebes,2
Yunquera de Henares,1
Abaltzisketa,1
Aduna,1
Aia,1
Aizarnazabal,1
Albiztur,1
Alegia,1
Alkiza,1
Altzo,1
Amezketa,1
Andoain,1
Anoeta,1
Antzuola,1
Arama,1
Aretxabaleta,1
Arrasate/Mondragón,2
Asteasu,1
Astigarraga,1
Ataun,1
Azkoitia,1
Azpeitia,1
Baliarrain,1
Beasain,1
Berastegi,1
Bergara,1
Berrobi,1
Bidania-Goiatz,1
Deba,1
Donostia/San Sebastián,14
Eibar,1
Elgeta,1
Elgoibar,1
Errenteria,1
Eskoriatza,1
Ezkio-Itsaso,1
Getaria,1
Hernani,1
Hondarribia,1
Ibarra,1
Idiazabal,1
Ikaztegieta,1
Irun,1
Irura,1
Itsasondo,1
Larraul,1
Lasarte-Oria,1
Lazkao,1
Leaburu,1
Legazpi,1
Legorreta,1
Lezo,1
Lizartza,1
Mendaro,1
Mutriku,1
Oiartzun,1
Olaberria,1
Oñati,1
Ordizia,1
Orendain,1
Orio,1
Ormaiztegi,1
Pasaia,3
Segura,1
Soraluze-Placencia de las Armas,1
Tolosa,1
Urnieta,1
Urretxu,1
Usurbil,1
Villabona,1
Zaldibia,1
Zarautz,1
Zegama,1
Zestoa,1
Zizurkil,1
Zumaia,1
Zumarraga,1
Albolote,2
Albuñol,1
Albuñuelas,1
Alfacar,1
Algarinejo,1
Alhama de Granada,2
Alhendín,1
Almuñécar,2
Alpujarra de la Sierra,1
Arenas del Rey,1
Armilla,1
Atarfe,1
Baza,1
Benalúa,1
Bérchules,1
Bubión,1
Cádiar,1
Cájar,1
Calicasas,1
Caniles,1
Capileira,1
Cenes de la Vega,1
Chauchina,1
Churriana de la Vega,1
Cijuela,1
Cuevas del Campo,1
Cúllar,1
Cúllar Vega,1
Dúrcal,1
El Valle,1
Fuente Vaqueros,1
Galera,1
Gójar,1
Granada,9
Guadix,1
Gualchos,2
Güéjar Sierra,1
Güevéjar,1
Huéscar,1
Huétor de Santillán,1
Huétor Tájar,1
Huétor Vega,1
Íllora,1
La Malahá,1
La Taha,1
La Zubia,1
Láchar,1
Lanjarón,1
Las Gabias,2
Loja,2
Maracena,1
Moclín,3
Monachil,2
Montefrío,1
Montejícar,1
Moraleda de Zafayona,1
Motril,8
Nigüelas,1
Ogíjares,1
Orce,1
Órgiva,1
Padul,1
Peligros,1
Pinos Puente,2
Puebla de Don Fadrique,1
Pulianas,1
Quéntar,1
Salar,1
Salobreña,2
Santa Fe,2
Ugíjar,1
Vegas del Genil,1
Villa de Otura,1
Villanueva Mesía,1
Zafarraya,1
Aín,1
Alcalà de Xivert,2
Alcudia de Veo,1
Algimia de Almonacid,1
Almassora,1
Almenara,1
Altura,1
Argelita,1
Artana,1
Bejís,1
Benicarló,1
Benicasim/Benicàssim,2
Betxí,1
Borriana/Burriana,1
Borriol,1
Cabanes,1
Castellnovo,1
Castellón de la Plana/Castelló de la Plana,11
Caudiel,1
Chilches/Xilxes,1
Costur,1
Eslida,1
Figueroles,1
Forcall,1
Fuentes de Ayódar,1
Geldo,1
Jérica,1
L' Alcora,1
La Llosa,1
La Pobla Tornesa,1
La Vall d'Uixó,2
La Vilavella,1
Les Alqueries/Alquerías del Niño Perdido,1
Les Coves de Vinromà,1
Llucena/Lucena del Cid,1
Moncofa,1
Nules,1
Onda,1
Oropesa del Mar/Orpesa,1
Peníscola/Peñíscola,1
Ribesalbes,1
Rossell,1
Sant Joan de Moró,1
Sant Mateu,1
Santa Magdalena de Pulpis,1
Segorbe,2
Sot de Ferrer,1
Tales,1
Torreblanca,1
Vilafamés,1
Vilanova d'Alcolea,1
Vila-real,4
Villafranca del Cid/Vilafranca,1
Vinaròs,1
Viver,1
Anglès,1
Arbúcies,1
Banyoles,1
Begur,1
Besalú,1
Bescanó,1
Blanes,1
Breda,1
Caldes de Malavella,1
Calonge,2
Campdevànol,1
Cassà de la Selva,1
Castellfollit de la Roca,1
Castelló d'Empúries,1
Castell-Platja d'Aro,1
Celrà,1
Figueres,1
Garriguella,1
Girona,5
Hostalric,1
L' Escala,1
La Bisbal d'Empordà,1
La Jonquera,1
Llagostera,1
Llançà,1
Lloret de Mar,1
Maçanet de la Selva,1
Olot,1
Palafrugell,1
Palamós,1
Porqueres,1
Puigcerdà,1
Quart,1
Ribes de Freser,1
Ripoll,1
Roses,1
Salt,2
Sant Feliu de Guíxols,1
Sant Feliu de Pallerols,1
Sant Gregori,1
Sant Hilari Sacalm,1
Sant Joan de les Abadesses,1
Sant Joan les Fonts,1
Santa Coloma de Farners,1
Santa Cristina d'Aro,1
Sarrià de Ter,1
Sils,1
Torroella de Montgrí,2
Tossa de Mar,1
Vidreres,1
Vilajuïga,1
Vilobí d'Onyar,1
Alcalá de los Gazules,1
Alcalá del Valle,1
Algar,1
Algeciras,3
Algodonales,1
Arcos de la Frontera,3
Barbate,2
Benalup-Casas Viejas,1
Benaocaz,1
Bornos,2
Cádiz,5
Chiclana de la Frontera,1
Chipiona,1
Conil de la Frontera,1
El Bosque,1
El Gastor,1
El Puerto de Santa María,1
Espera,1
Grazalema,2
Jerez de la Frontera,10
Jimena de la Frontera,1
La Línea de la Concepción,1
Los Barrios,2
Medina Sidonia,1
Olvera,1
Paterna de Rivera,1
Prado del Rey,1
Adamuz,1
Aguilar de la Frontera,1
Alcaracejos,1
Almedinilla,1
Almodóvar del Río,1
Añora,1
Baena,1
Belmez,2
Benamejí,1
Bujalance,1
Cabra,2
Cañete de las Torres,1
Carcabuey,1
Cardeña,1
Castro del Río,1
Conquista,1
Córdoba,14
Doña Mencía,1
Dos Torres,1
El Carpio,1
El Guijo,1
El Viso,1
Encinas Reales,1
Espejo,1
Espiel,1
Fernán-Núñez,1
Fuente Obejuna,1
Alarcón,1
Albalate de las Nogueras,1
Albendea,1
Aliaguilla,1
Almodóvar del Pinar,1
Almonacid del Marquesado,1
Arcas,1
Barajas de Melo,1
Belmonte,1
Beteta,1
Buenache de Alarcón,1
Buendía,1
Campillo de Altobuey,1
Campos del Paraíso,1
Cañamares,1
Cañete,1
Cañizares,2
Carboneras de Guadazaón,1
Cardenete,1
Casas de Benítez,1
Casas de Fernando Alonso,1
Casas de Haro,1
Casas de los Pinos,1
Casasimarro,1
Chillarón de Cuenca,1
Cuenca,6
Puerto Real,1
Puerto Serrano,1
Rota,2
San Fernando,2
San José del Valle,1
San Roque,5
Sanlúcar de Barrameda,1
Setenil de las Bodegas,1
Tarifa,2
Torre Alháquime,1
Trebujena,1
Ubrique,1
Vejer de la Frontera,1
Villamartín,1
Zahara,1
Fuente Palmera,3
Fuente-Tójar,1
Guadalcázar,1
Hinojosa del Duque,1
Hornachuelos,1
Iznájar,1
La Carlota,1
La Rambla,1
La Victoria,1
Lucena,1
Luque,1
Montalbán de Córdoba,1
Montemayor,1
Montilla,1
Montoro,1
Monturque,1
Moriles,1
Nueva Carteya,1
Obejo,2
Palenciana,1
Palma del Río,1
Pedro Abad,1
Pedroche,1
Peñarroya-Pueblonuevo,1
Posadas,1
Pozoblanco,1
Priego de Córdoba,1
Puente Genil,2
Rute,2
San Sebastián de los Ballesteros,1
El Herrumblar,1
El Pedernoso,1
El Peral,1
El Picazo,1
El Provencio,1
Fuente de Pedro Naharro,1
Fuentes,1
Graja de Iniesta,1
Honrubia,1
Horcajo de Santiago,1
Huete,1
Iniesta,1
La Alberca de Záncara,1
La Frontera,1
Landete,1
Las Majadas,1
Las Mesas,1
Las Pedroñeras,1
Las Valeras,1
Ledaña,1
Los Hinojosos,1
Minglanilla,1
Mira,1
Montalbo,1
Mota del Cuervo,1
Motilla del Palancar,1
Osa de la Vega,1
Palomares del Campo,1
Pozorrubielos de la Mancha,1
Pozorrubio de Santiago,1
Priego,1
Puebla de Almenara,1
Quintanar del Rey,1
Saelices,1
Santaella,2
Torrecampo,1
Valenzuela,1
Valsequillo,1
Villa del Río,1
Villafranca de Córdoba,1
Villaharta,1
Villanueva de Córdoba,1
Villanueva del Duque,1
Villanueva del Rey,1
Villaralto,1
Villaviciosa de Córdoba,1
San Clemente,1
San Lorenzo de la Parrilla,1
Santa Cruz de Moya,1
Santa María de los Llanos,1
Santa María del Campo Rus,1
Sisante,1
Sotorribas,2
Talayuelas,1
Tarancón,1
Tébar,1
Torrubia del Campo,1
Tragacete,1
Uclés,1
Vara de Rey,1
Villaconejos de Trabaque,1
Villaescusa de Haro,1
Villagarcía del Llano,1
Villalba de la Sierra,1
Villalpardo,1
Villamayor de Santiago,1
Villanueva de la Jara,1
Villar de Olalla,1
Villarejo de Fuentes,1
Villarejo-Periesteban,1
Villares del Saz,1
Villarta,1
A Baña,1
A Capela,1
A Coruña,10
A Laracha,3
A Pobra do Caramiñal,1
Abegondo,3
Ames,2
Aranga,2
Ares,1
Arteixo,5
Arzúa,1
As Pontes de García Rodríguez,1
Bergondo,1
Betanzos,1
Boimorto,1
Boiro,3
Boqueixón,1
Brión,1
Cabana de Bergantiños,2
Camariñas,1
Cambre,3
Carballo,2
Cariño,1
Carnota,1
Carral,1
Cedeira,1
Cee,3
Cerceda,2
Coirós,1
Corcubión,1
Coristanco,1
Culleredo,2
Curtis,1
Dodro,1
Dumbría,5
Fene,1
Ferrol,3
Irixoa,1
Laxe,2
Lousame,1
Malpica de Bergantiños,1
Mazaricos,1
Melide,1
Mesía,1
Miño,2
Moeche,1
Mugardos,1
Muros,3
Muxía,1
Narón,3
Neda,1
Negreira,1
Noia,1
O Pino,1
Oleiros,7
Ordes,1
Oroso,1
Ortigueira,1
Outes,1
Oza-Cesuras,1
Paderne,1
Padrón,1
Ponteceso,1
Pontedeume,1
Porto do Son,3
Rianxo,1
Ribeira,1
Rois,1
Sada,1
San Sadurniño,1
Santa Comba,1
Santiago de Compostela,6
Santiso,1
Sobrado,1
Teo,2
Toques,1
Tordoia,1
Touro,1
Trazo,1
Val do Dubra,1
Vedra,1
Vilasantar,1
Vimianzo,1
Zas,2
Alfoz de Quintanadueñas,1
Aranda de Duero,1
Arija,1
Belorado,1
Briviesca,1
Burgos,15
Covarrubias,1
Espinosa de los Monteros,1
Gumiel de Izán,1
Huerta de Rey,1
Ibeas de Juarros,1
Lerma,1
Medina de Pomar,1
Abenójar,1
Agudo,1
Alcázar de San Juan,1
Melgar de Fernamental,1
Miranda de Ebro,1
Oña,1
Pradoluengo,1
Quintanar de la Sierra,1
Roa,1
Salas de los Infantes,1
Trespaderne,1
Valle de Mena,1
Valle de Tobalina,1
Villadiego,1
Villarcayo de Merindad de Castilla la Vieja,1
Alcolea de Calatrava,1
Alcubillas,1
Aldea del Rey,1
Alhambra,1
Almadén,1
Almagro,1
Almedina,1
Almodóvar del Campo,1
Anchuras,1
Arenales de San Gregorio,1
Arenas de San Juan,1
Argamasilla de Alba,1
Argamasilla de Calatrava,1
Arroba de los Montes,1
Ballesteros de Calatrava,1
Bolaños de Calatrava,1
Brazatortas,1
Cabezarrubias del Puerto,1
Calzada de Calatrava,1
Campo de Criptana,1
Carrión de Calatrava,1
Carrizosa,1
Castellar de Santiago,1
Chillón,1
Ciudad Real,11
Corral de Calatrava,1
Cózar,1
Daimiel,1
El Robledo,1
Fernán Caballero,1
Fuencaliente,1
Fuente el Fresno,1
Granátula de Calatrava,1
Herencia,1
Horcajo de los Montes,1
La Solana,1
Las Labores,1
Llanos del Caudillo,1
Los Cortijos,1
Luciana,1
Malagón,1
Manzanares,2
Membrilla,1
Miguelturra,1
Montiel,1
Moral de Calatrava,1
Pedro Muñoz,1
Piedrabuena,2
Poblete,1
Porzuna,2
Pozuelo de Calatrava,1
Puebla de Don Rodrigo,1
Puerto Lápice,1
Puertollano,2
Retuerta del Bullaque,1
Ruidera,1
Saceruela,1
San Carlos del Valle,1
Santa Cruz de Mudela,1
Socuéllamos,1
Tomelloso,1
Torralba de Calatrava,1
Torre de Juan Abad,1
Torrenueva,1
Valdepeñas,1
Valenzuela de Calatrava,1
Villahermosa,1
Villamanrique,1
Villamayor de Calatrava,1
Villanueva de la Fuente,1
Villanueva de los Infantes,1
Villarrubia de los Ojos,1
Villarta de San Juan,1
Viso del Marqués,1
Alaior,1
Alaró,1
Alcúdia,1
Algaida,1
Andratx,1
Artà,2
Banyalbufar,1
Binissalem,1
Búger,1
Bunyola,1
Calvià,7
Campanet,1
Campos,1
Capdepera,2
Ciutadella de Menorca,1
Consell,1
Deià,1
Eivissa,5
Es Castell,1
Es Mercadal,2
Es Migjorn Gran,1
Esporles,1
Felanitx,2
Ferreries,1
Formentera,2
Fornalutx,1
Inca,1
Lloret de Vistalegre,1
Lloseta,1
Llubí,1
Llucmajor,2
Manacor,3
Mancor de la Vall,1
Maó-Mahón,1
Maria de la Salut,1
Marratxí,2
Montuïri,1
Muro,1
Palma,22
Petra,1
Pollença,2
Porreres,1
Puigpunyent,1
Sa Pobla,1
Sant Antoni de Portmany,1
Sant Joan,1
Sant Joan de Labritja,2
Sant Josep de sa Talaia,4
Sant Llorenç des Cardassar,3
Sant Lluís,1
Santa Eugènia,1
Santa Eulària des Riu,4
Santa Margalida,2
Santa María del Camí,1
Santanyí,2
Selva,2
Sencelles,1
Ses Salines,2
Sineu,1
Sóller,1
Son Servera,2
Valldemossa,1
Vilafranca de Bonany,1
Agost,1
Aigües,1
Albatera,1
Alcoy/Alcoi,3
Alfafara,1
Algorfa,1
Alicante/Alacant,13
Almoradí,1
Altea,2
Aspe,1
Banyeres de Mariola,1
Beniarbeig,1
Beniarrés,1
Benidorm,4
Benijófar,1
Benimantell,1
Benissa,1
Benitachell/El Poble Nou de Benitatxell,1
Biar,1
Bigastro,1
Busot,1
Callosa de Segura,1
Callosa d'en Sarrià,1
Calp,1
Cañada,1
Castalla,1
Catral,1
Cocentaina,1
Cox,1
Crevillent,1
Dénia,3
Dolores,1
Agurain/Salvatierra,1
Alegría-Dulantzi,1
Amurrio,1
Aramaio,1
Arraia-Maeztu,1
Artziniega,1
Asparrena,1
Barrundia,1
Berantevilla,1
Campezo/Kanpezu,1
Elciego,1
Elvillar/Bilar,1
Iruña Oka/Iruña de Oca,1
Kuartango,1
Laguardia,1
Lanciego/Lantziego,1
Laudio/Llodio,1
Legutio,1
Moreda de Álava/Moreda Araba,1
Okondo,1
Oyón-Oion,1
Samaniego,1
El Campello,1
El Pinós/Pinoso,1
El Ràfol d'Almúnia,1
El Verger,1
Elche/Elx,7
Elda,4
Els Poblets,1
Finestrat,1
Gaianes,1
Gata de Gorgos,1
Guardamar del Segura,1
Ibi,1
Jacarilla,1
Jávea/Xàbia,2
Jijona/Xixona,1
L' Alfàs del Pi,1
La Nucia,2
La Romana,1
La Vall de Laguar,2
Millena,1
Monforte del Cid,1
Monóvar/Monòver,1
Muro de Alcoy,1
Mutxamel,2
Novelda,1
Ondara,1
Onil,1
Orba,1
Orihuela,2
Orxeta,1
Pedreguer,1
Pego,1
Petrer,2
Pilar de la Horadada,1
San Millán/Donemiliaga,1
Urkabustaiz,1
Valdegovía/Gaubea,1
Vitoria-Gasteiz,13
Zigoitia,1
Zuia,1
Polop,1
Redován,1
Rojales,1
Salinas,1
San Miguel de Salinas,1
San Vicente del Raspeig/Sant Vicent del Raspeig,2
Sant Joan d'Alacant,1
Santa Pola,3
Sax,1
Senija,1
Teulada,2
Tibi,1
Torrevieja,2
Villajoyosa/La Vila Joiosa,1
Villena,3
Xaló,1
Adra,3
Albanchez,1
Alboloduy,1
Albox,1
Alcolea,1
Alcóntar,1
Alhama de Almería,1
Almería,5
Antas,1
Armuña de Almanzora,1
Bacares,1
Balanegra,1
Benahadux,1
Bentarique,1
Berja,1
Canjáyar,1
Cantoria,2
Carboneras,1
Chercos,1
Chirivel,1
Cóbdar,1
Cuevas del Almanzora,2
Dalías,1
El Ejido,5
Fiñana,1
Fines,1
Gádor,1
Garrucha,1
Huércal de Almería,1
Huércal-Overa,1
Íllar,1
Instinción,1
La Mojonera,1
Láujar de Andarax,1
Líjar,1
Lubrín,1
Lúcar,2
Macael,1
María,1
Abengibre,1
Alatoz,1
Albacete,19
Albatana,1
Alborea,1
Alcalá del Júcar,1
Alcaraz,1
Almansa,2
Alpera,1
Balazote,1
Barrax,1
Bienservida,1
Bogarra,1
Bonete,1
Carcelén,1
Casas de Juan Núñez,1
Casas de Ves,1
Casas-Ibáñez,1
Caudete,1
Mojácar,1
Níjar,5
Olula del Río,1
Oria,1
Pechina,1
Pulpí,1
Purchena,1
Rioja,1
Roquetas de Mar,3
Senés,1
Serón,1
Somontín,1
Sorbas,1
Tabernas,1
Taberno,1
Terque,1
Tíjola,1
Turre,1
Urrácal,1
Vélez-Blanco,1
Vélez-Rubio,1
Vera,1
Viator,1
Vícar,6
Zurgena,1
Cenizate,1
Chinchilla de Monte-Aragón,1
Corral-Rubio,1
El Ballestero,1
El Bonillo,1
Elche de la Sierra,1
Férez,1
Fuente-Álamo,1
Fuentealbilla,2
Hellín,7
Higueruela,1
Hoya-Gonzalo,1
La Gineta,1
La Herrera,1
La Roda,1
Letur,1
Lezuza,2
Liétor,1
Madrigueras,1
Mahora,1
Minaya,1
Molinicos,1
Montealegre del Castillo,1
Munera,1
Nerpio,1
Ontur,1
Ossa de Montiel,1
Paterna del Madera,1
Peñas de San Pedro,1
Peñascosa,1
Pétrola,1
Povedilla,1
Pozo Cañada,1
Pozohondo,2
Pozo-Lorente,1
Pozuelo,1
Riópar,1
Salobre,1
San Pedro,1
Socovos,2
Tarazona de la Mancha,1
Tobarra,3
Valdeganga,1
Vianos,1
Villalgordo del Júcar,1
Villamalea,1
Villapalacios,1
Villarrobledo,2
Villavaliente,1
Villaverde de Guadalimar,1
Yeste,1
Aldeanueva de Santa Cruz,1
Arenas de San Pedro,1
Arévalo,1
Ávila,5
Burgohondo,1
Candeleda,1
Casavieja,1
Casillas,1
Cebreros,1
Cuevas del Valle,1
El Arenal,1
El Barco de Ávila,1
El Barraco,1
El Hoyo de Pinares,1
El Tiemblo,1
Fontiveros,1
Hoyos del Espino,1
Las Navas del Marqués,1
Madrigal de las Altas Torres,1
Mijares,1
Mingorría,1
Nava de Arévalo,1
Navalperal de Pinares,1
Navaluenga,1
Navatalgordo,1
Pedro Bernardo,1
Peguerinos,1
Piedrahíta,1
Piedralaves,1
San Esteban del Valle,1
Solosancho,1
Sotillo de la Adrada,1
Villarejo del Valle,1
Acedera,2
Aceuchal,1
Ahillones,1
Alange,1
Alburquerque,1
Alconchel,1
Alconera,1
Almendral,1
Almendralejo,1
Arroyo de San Serván,1
Atalaya,1
Azuaga,2
Badajoz,14
Barcarrota,1
Baterno,1
Benquerencia de la Serena,4
Berlanga,1
Bienvenida,1
Bodonal de la Sierra,1
Burguillos del Cerro,2
Cabeza del Buey,1
Cabeza la Vaca,1
Calamonte,1
Calera de León,1
Calzadilla de los Barros,1
Campanario,1
Campillo de Llerena,1
Capilla,1
Carmonita,1
Casas de Don Pedro,1
Casas de Reina,1
Castilblanco,1
Castuera,1
Cheles,1
Cordobilla de Lácara,1
Corte de Peleas,1
Cristina,1
Don Álvaro,1
Don Benito,6
Entrín Bajo,1
Esparragalejo,1
Esparragosa de la Serena,1
Esparragosa de Lares,1
Fregenal de la Sierra,1
Fuenlabrada de los Montes,1
Fuente de Cantos,1
Fuente del Arco,1
Fuente del Maestre,1
Fuentes de León,1
Garbayuela,1
Garlitos,1
Granja de Torrehermosa,1
Guadiana del Caudillo,1
Guareña,2
Helechosa de los Montes,1
Herrera del Duque,2
Higuera de la Serena,1
Higuera de Llerena,1
Higuera de Vargas,1
Higuera la Real,1
Hornachos,1
Jerez de los Caballeros,4
La Albuera,1
La Codosera,1
La Coronada,1
La Garrovilla,1
La Haba,1
La Lapa,1
La Morera,1
La Nava de Santiago,1
La Parra,1
La Roca de la Sierra,1
La Zarza,1
Llera,1
Llerena,1
Lobón,2
Los Santos de Maimona,1
Magacela,1
Maguilla,1
Malcocinado,1
Malpartida de la Serena,1
Manchita,1
Medellín,2
Medina de las Torres,1
Mengabril,1
Mérida,4
Mirandilla,1
Monesterio,1
Montemolín,3
Monterrubio de la Serena,1
Montijo,3
Navalvillar de Pela,3
Oliva de la Frontera,1
Oliva de Mérida,1
Olivenza,5
Orellana de la Sierra,1
Orellana la Vieja,1
Palomas,1
Peñalsordo,1
Peraleda del Zaucejo,1
Puebla de Alcocer,1
Puebla de la Calzada,1
Puebla de la Reina,1
Puebla de Obando,1
Puebla de Sancho Pérez,1
Puebla del Maestre,1
Puebla del Prior,1
Pueblonuevo del Guadiana,1
Quintana de la Serena,1
Reina,1
Retamal de Llerena,1
Ribera del Fresno,1
Salvaleón,1
Salvatierra de los Barros,1
San Pedro de Mérida,1
San Vicente de Alcántara,1
Sancti-Spíritus,1
Santa Marta,1
Segura de León,1
Siruela,1
Solana de los Barros,3
Talarrubias,1
Talavera la Real,1
Táliga,1
Tamurejo,1
